"","value"
"PI 641059",14.130522712473
"PI 642773",8.36348389257083
"PI 650337",17.2848920794048
"PI 650338",15.4802333430252
"PI 650339",17.7886211205222
"PI 650342",17.0723889833918
"PI 650343",18.0088033392287
"PI 650344",19.1276323851557
"PI 650348",14.6409032064837
"PI 650350",13.5471789551436
"PI 650351",14.0478330301423
"PI 650352",11.8581173335573
"PI 650362",13.2502543721941
"PI 650363",7.42088271871936
"PI 650364",12.1871108089485
"PI 650365",14.6222277938542
"PI 650368",15.0805271529687
"PI 650369",15.141001037933
"PI 650370",14.1361026627059
"PI 650372",13.5539648132522
"PI 650375",10.1798737638315
"PI 650379",13.6653357769446
"PI 650381",11.7791875074242
"PI 650385",13.1136003775098
"PI 650395",13.9642070218821
"PI 650396",16.9280558643435
"PI 650406",14.0551341473619
"PI 650407",12.4036114135553
"PI 650408",13.559084228938
"PI 650409",15.1688437792737
"PI 650411",12.9714998939264
"PI 650412",13.1279469317532
"PI 650438",11.875721245197
"PI 650442",10.4657224730389
"PI 650443",14.8576440978163
"PI 650470",15.8496362820503
"PI 650471",13.6627760682664
"PI 650472",14.0349705303852
"PI 650473",15.4751139273394
"PI 650488",18.1152266411582
"PI 650493",16.2739518360305
"PI 650495",16.070233472954
"PI 650497",14.9221253840573
"PI 650505",13.1542515479041
"PI 650511",12.4376954760034
"PI 650531",16.4806754057707
"PI 650533",15.5967237207329
"PI 650534",14.8576440978163
"PI 650537",13.467876883893
"PI 650538",14.0484157628186
"PI 650539",14.7318909052808
"PI 650540",14.1665051110543
"PI 650552",16.8768684322827
"PI 650553",16.1665031982143
"PI 650561",16.0700503151724
"PI 650562",17.3667754915786
"PI 650573",12.7098168854344
"PI 650647",15.6296858760888
"PI 650655",13.4729962995788
"PI 650656",17.4570679397939
"PI 650657",15.0600325242595
"PI 650658",14.341240678451
"PI 650660",16.481975527153
"PI 650662",15.7359374257659
"PI 650663",12.2157489443574
"PI 650664",17.4292251984532
"PI 650720",19.8469420214521
"PI 650731",12.2916868416243
"PI 650734",17.7354953465189
"PI 650736",17.955662735631
"PI 650740",16.0168883010795
"PI 650741",14.1391471519047
"PI 650745",10.778730564385
"PI 650770",16.5719895300419
"PI 650775",16.3057352757481
"PI 650777",14.4736511874544
"PI 650778",15.6498494947361
"PI 650779",14.9754072420335
"PI 650780",16.1538594837231
"PI 650781",14.7563220815309
"PI 650782",15.2904535726671
"PI 650783",17.719689317723
"PI 650785",14.195139934596
"PI 650789",17.4013824571124
"PI 650790",20.4187859476452
"PI 650791",17.0749486903994
"PI 650792",18.6169826957373
"PI 650793",15.8396292650942
"PI 650794",15.7241972684055
"PI 650795",21.1630262140389
"PI 650796",16.0902139321491
"PI 650798",13.2729776995196
"PI 650799",13.9603629638766
"PI 650800",15.3060672245954
"PI 650807",15.6939164320197
"PI 650811",17.7937405345374
"PI 650812",17.0660574711189
"PI 650813",12.154715656472
"PI 650816",16.4496098558887
"PI 650829",17.4274699026716
"PI 650830",13.0806382204832
"PI 650838",8.80967529420042
"PI 655010",13.5064477422217
"PI 655011",11.7063047762762
"PI 664135",13.9339261880051
"PI 664149",15.8953147477757
"PI 664161",13.9144002079295
"PI 664164",17.4878025875288
"PI 664168",15.3688623793329
"PI 664181",12.6654440366615
"PI 664190",18.4818272241308
"PI 664191",13.4425938495599
"PI 664195",15.34788022998
"PI 664196",13.6931785166147
"PI 664197",13.1440028258582
"PI 667183",13.766674166467
"PI 667184",8.29637482328668
"PI 673245",13.7459119050528
"PI 673333",15.6462391354028
"PI 673334",13.387570440223
"PI 673336",13.3875704437893
"PI 673338",7.5625827599743
"PI 673339",9.82125145515413
"PI 673340",12.674306642496
"PI 673341",13.012376307152
"PI 673345",15.8919141457703
"PI 678787",13.6477318669755
"PI 678789",13.8071091889853
